Time,Susceptible,Incubating,Contagious,Recovered,Total population,Field 6,Expected poulation growth (days-1),Field 8,Field 9
0.00,2705999.00000000,1.00000000,0.00000000,0.00000000,2706000.00000000,,0,,
0.61,2705999.00000000,0.95736417,0.04263583,0.00000000,2706000.00000000,,,,
1.22,2705998.97399215,0.94255400,0.07224589,0.00560398,2705999.99439602,,Area,Percentile annual growth,Expected poulation growth (days-1)
1.83,2705998.92992218,0.94643740,0.09344070,0.01509986,2705999.98490014,,World,1.4,0.003809087659
2.44,2705998.87292337,0.96308406,0.10922947,0.02738155,2705999.97261845,,UK,0.25,0.0006840791065
3.05,2705998.80629342,0.98865212,0.12157749,0.04173849,2705999.95826151,,US,1,0.002726155201
3.66,2705998.73213119,1.02066235,0.13176961,0.05771842,2705999.94228157,,Europe,0,0
4.27,2705998.65175176,1.05752498,0.14064725,0.07503800,2705999.92496200,,Asia,1.6,0.004348957347
4.88,2705998.56595698,1.09823131,0.14876283,0.09352444,2705999.90647556,,Africa,2.8,0.007566085401
5.49,2705998.47521170,1.14215258,0.15648057,0.11307757,2705999.88692242,,UAE,7.8,0.02057950701
6.10,2705998.37975861,1.18890904,0.16404211,0.13364511,2705999.86635487,,,,
6.71,2705998.27969298,1.23828454,0.17160940,0.15520653,2705999.84479345,,Note: These figures are very approximate.,,
7.32,2705998.17501131,1.29017091,0.17929259,0.17776258,2705999.82223739,,,,
7.93,2705998.06564290,1.34453181,0.18716827,0.20132850,2705999.79867147,,,,
8.54,2705997.95147033,1.40137914,0.19529134,0.22592958,2705999.77407038,,Time step (days),,
9.15,2705997.83234270,1.46075779,0.20370277,0.25159834,2705999.74840161,,0.61,,
9.76,2705997.70808409,1.52273576,0.21243470,0.27837269,2705999.72162725,,,,
10.37,2705997.57849903,1.58739771,0.22151369,0.30629475,2705999.69370518,,,,
10.98,2705997.44337579,1.65484091,0.23096294,0.33541014,2705999.66458977,,,,
11.59,2705997.30248851,1.72517265,0.24080370,0.36576751,2705999.63423238,,,,
12.20,2705997.15559839,1.79850859,0.25105621,0.39741835,2705999.60258153,,,,
12.81,2705997.00245425,1.87497180,0.26174031,0.43041675,2705999.56958310,,,,
13.42,2705996.84279282,1.95469222,0.27287588,0.46481945,2705999.53518037,,,,
14.03,2705996.67633870,2.03780638,0.28448312,0.50068580,2705999.49931400,,,,
14.64,2705996.50280419,2.12445729,0.29658272,0.53807778,2705999.46192198,,,,
15.25,2705996.32188893,2.21479451,0.30919606,0.57706011,2705999.42293962,,,,
15.86,2705996.13327955,2.30897424,0.32234525,0.61770032,2705999.38229937,,,,
16.47,2705995.93664919,2.40715952,0.33605326,0.66006884,2705999.33993081,,,,
17.08,2705995.73165697,2.50952044,0.35034396,0.70423911,2705999.29576048,,,,
17.69,2705995.51794745,2.61623442,0.36524221,0.75028773,2705999.24971181,,,,
18.30,2705995.29515002,2.72748646,0.38077390,0.79829455,2705999.20170493,,,,
18.91,2705995.06287828,2.84346947,0.39696600,0.84834283,2705999.15165658,,,,
19.52,2705994.82072940,2.96438459,0.41384660,0.90051937,2705999.09947996,,,,
20.13,2705994.56828339,3.09044152,0.43144500,0.95491467,2705999.04508458,,,,
